Variable Name,Component,Variable Description
AIALANGA,Demographics,Language of the MEC ACASI Interview Instrument
DMDBORN4,Demographics,In what country {were you/was SP} born?
DMDCITZN,Demographics,{Are you/Is SP} a citizen of the United States? [Information about citizenship is being collected by the U.S. Public Health Service to perform health related research. Providing this information is voluntary and is collected under the authority of the Public Health Service Act. There will be no effect on pending immigration or citizenship petitions.]
DMDEDUC2,Demographics,What is the highest grade or level of school {you have/SP has} completed or the highest degree {you have/s/he has} received?
DMDEDUC3,Demographics,What is the highest grade or level of school {you have/SP has} completed or the highest degree {you have/s/he has} received?
DMDFMSIZ,Demographics,Total number of people in the Family
DMDHHSIZ,Demographics,Total number of people in the Household
DMDHHSZA,Demographics,Number of children aged 5 years or younger in the household
DMDHHSZB,Demographics,Number of children aged 6-17 years old in the household
DMDHHSZE,Demographics,Number of adults aged 60 years or older in the household
DMDHRAGZ,Demographics,HH reference person's age in years
DMDHREDZ,Demographics,HH reference person's education level
DMDHRGND,Demographics,HH reference person's gender
DMDHRMAZ,Demographics,HH reference person's marital status
DMDHSEDZ,Demographics,HH reference person's spouse's education level
DMDMARTL,Demographics,Marital status
DMDYRSUS,Demographics,Length of time the participant has been in the US.
DMQADFC,Demographics,"Did {you/SP} ever serve in a foreign country during a time of armed conflict or on a humanitarian or peace-keeping mission? (This would include National Guard or reserve or active duty monitoring or conducting peace keeping operations in Bosnia and Kosovo, in the Sinai between Egypt and Israel, or in response to the 2004 tsunami or Haiti in 2010.)"
DMQMILIZ,Demographics,"{Have you/Has SP} ever served on active duty in the U.S. Armed Forces, military Reserves, or National Guard? (Active duty does not include training for the Reserves or National Guard, but does include activation, for service in the U.S. or in a foreign country, in support of military or humanitarian operations.)"
FIAINTRP,Demographics,Was an interpreter used to conduct the Family interview?
FIALANG,Demographics,Language of the Family Interview Instrument
FIAPROXY,Demographics,Was a Proxy respondent used in conducting the Family Interview?
INDFMIN2,Demographics,Total family income (reported as a range value in dollars)
INDFMPIR,Demographics,A ratio of family income to poverty guidelines.
INDHHIN2,Demographics,Total household income (reported as a range value in dollars)
MIAINTRP,Demographics,Was an interpreter used to conduct the MEC CAPI interview?
MIALANG,Demographics,Language of the MEC CAPI Interview Instrument
MIAPROXY,Demographics,Was a Proxy respondent used in conducting the MEC CAPI Interview?
RIAGENDR,Demographics,Gender of the participant.
RIDAGEMN,Demographics,Age in months of the participant at the time of screening. Reported for persons aged 24 months or younger at the time of exam (or screening if not examined).
RIDAGEYR,Demographics,Age in years of the participant at the time of screening. Individuals 80 and over are topcoded at 80 years of age.
RIDEXAGM,Demographics,Age in months of the participant at the time of examination. Reported for persons aged 19 years or younger at the time of examination.
RIDEXMON,Demographics,"Six month time period when the examination was performed - two categories: November 1 through April 30, May 1 through October 31."
RIDEXPRG,Demographics,Pregnancy status for females between 20 and 44 years of age at the time of MEC exam.
RIDRETH1,Demographics,Recode of reported race and Hispanic origin information
RIDRETH3,Demographics,"Recode of reported race and Hispanic origin information, with Non-Hispanic Asian Category"
RIDSTATR,Demographics,Interview and examination status of the participant.
SDDSRVYR,Demographics,Data release cycle
SDMVPSU,Demographics,Masked variance unit pseudo-PSU variable for variance estimation
SDMVSTRA,Demographics,Masked variance unit pseudo-stratum variable for variance estimation
SEQN,Demographics,Respondent sequence number.
SIAINTRP,Demographics,Was an interpreter used to conduct the Sample Person (SP) interview?
SIALANG,Demographics,Language of the Sample Person Interview Instrument
SIAPROXY,Demographics,Was a Proxy respondent used in conducting the Sample Person (SP) interview?
WTINT2YR,Demographics,Full sample 2 year interview weight.
WTMEC2YR,Demographics,Full sample 2 year MEC exam weight.
DBD100,Dietary,How often {do you/does SP} add this salt to {your/his/her/SP's} food at the table?  Would you say . . .
DBQ095Z,Dietary,What type of salt {do you/does SP} usually add to {your/his/her/SP's} food at the table?  Would you say . . .
DR1_300,Dietary,"Was the amount of food that {you/NAME} ate yesterday much more than usual, usual, or much less than usual?"
DR1_320Z,Dietary,"Total plain water drank yesterday - including plain tap water, water from a drinking fountain, water from a water cooler, bottled water, and spring water."
DR1_330Z,Dietary,Total tap water drank yesterday - including filtered tap water and water from a drinking fountain.
DR1BWATZ,Dietary,Total bottled water drank yesterday (gm)
DR1DAY,Dietary,Intake day of the week
DR1DBIH,Dietary,Number of days between intake day and the day of family questionnaire administered in the household.
DR1DRSTZ,Dietary,Dietary recall status
DR1EXMER,Dietary,Interviewer ID code
DR1HELP,Dietary,Who helped in responding for this interview
DR1LANG,Dietary,The respondent spoke mostly:
DR1MRESP,Dietary,Who was the main respondent for this interview?
DR1SKY,Dietary,"What type of salt was it? (Was it ordinary or sea salt, lite salt, or a salt substitute?)"
DR1STY,Dietary,"Did {you/SP} add any salt to {your/her/his} food at the table yesterday? Salt includes ordinary or sea salt, lite salt, or a salt substitute."
DR1TACAR,Dietary,Alpha-carotene (mcg)
DR1TALCO,Dietary,Alcohol (gm)
DR1TATOA,Dietary,Added alpha-tocopherol (Vitamin E) (mg)
DR1TATOC,Dietary,Vitamin E as alpha-tocopherol (mg)
DR1TB12A,Dietary,Added vitamin B12 (mcg)
DR1TBCAR,Dietary,Beta-carotene (mcg)
DR1TCAFF,Dietary,Caffeine (mg)
DR1TCARB,Dietary,Carbohydrate (gm)
