Variable,DataType,Label,Plain Description,Target
SEQN,questionnaire,Respondent sequence number,Respondent sequence number.,Both males and females 3 YEARS -150 YEARS
SDDSRVYR,demographics,Data release cycle,Data release cycle,Both males and females 0 YEARS -150 YEARS
RIDSTATR,demographics,Interview/Examination status,Interview and examination status of the participant.,Both males and females 0 YEARS -150 YEARS
RIAGENDR,demographics,Gender,Gender of the participant.,Both males and females 0 YEARS -150 YEARS
RIDAGEYR,demographics,Age in years at screening,Age in years of the participant at the time of screening. Individuals 80 and over are topcoded at 80 years of age.,Both males and females 0 YEARS -150 YEARS
RIDAGEMN,demographics,Age in months at screening - 0 to 24 mos,Age in months of the participant at the time of screening. Reported for persons aged 24 months or younger at the time of exam (or screening if not examined).,Both males and females 0 YEARS -2 YEARS
RIDRETH1,demographics,Race/Hispanic origin,Recode of reported race and Hispanic origin information,Both males and females 0 YEARS -150 YEARS
RIDRETH3,demographics,Race/Hispanic origin w/ NH Asian,"Recode of reported race and Hispanic origin information, with Non-Hispanic Asian Category",Both males and females 0 YEARS -150 YEARS
RIDEXMON,demographics,Six month time period,"Six month time period when the examination was performed - two categories: November 1 through April 30, May 1 through October 31.",Both males and females 0 YEARS -150 YEARS
RIDEXAGM,demographics,Age in months at exam - 0 to 19 years,Age in months of the participant at the time of examination. Reported for persons aged 19 years or younger at the time of examination.,Both males and females 0 YEARS -19 YEARS
DMQMILIZ,demographics,Served active duty in US Armed Forces,"{Have you/Has SP} ever served on active duty in the U.S. Armed Forces, military Reserves, or National Guard? (Active duty does not include training for the Reserves or National Guard, but does include activation, for service in the U.S. or in a foreign country, in support of military or humanitarian operations.)",Both males and females 17 YEARS -150 YEARS
DMQADFC,demographics,Served in a foreign country,"Did {you/SP} ever serve in a foreign country during a time of armed conflict or on a humanitarian or peace-keeping mission? (This would include National Guard or reserve or active duty monitoring or conducting peace keeping operations in Bosnia and Kosovo, in the Sinai between Egypt and Israel, or in response to the 2004 tsunami or Haiti in 2010.)",Both males and females 17 YEARS -150 YEARS
DMDBORN4,demographics,Country of birth,In what country {were you/was SP} born?,Both males and females 0 YEARS -150 YEARS
DMDCITZN,demographics,Citizenship status,{Are you/Is SP} a citizen of the United States? [Information about citizenship is being collected by the U.S. Public Health Service to perform health related research. Providing this information is voluntary and is collected under the authority of the Public Health Service Act. There will be no effect on pending immigration or citizenship petitions.],Both males and females 0 YEARS -150 YEARS
DMDYRSUS,demographics,Length of time in US,Length of time the participant has been in the US.,Both males and females 0 YEARS -150 YEARS
DMDEDUC3,demographics,Education level - Children/Youth 6-19,What is the highest grade or level of school {you have/SP has} completed or the highest degree {you have/s/he has} received?,Both males and females 6 YEARS -19 YEARS
DMDEDUC2,demographics,Education level - Adults 20+,What is the highest grade or level of school {you have/SP has} completed or the highest degree {you have/s/he has} received?,Both males and females 20 YEARS -150 YEARS
DMDMARTL,demographics,Marital status,Marital status,Both males and females 20 YEARS -150 YEARS
RIDEXPRG,demographics,Pregnancy status at exam,Pregnancy status for females between 20 and 44 years of age at the time of MEC exam.,Females only 20 YEARS -44 YEARS
SIALANG,demographics,Language of SP Interview,Language of the Sample Person Interview Instrument,Both males and females 0 YEARS -150 YEARS
SIAPROXY,demographics,Proxy used in SP Interview?,Was a Proxy respondent used in conducting the Sample Person (SP) interview?,Both males and females 0 YEARS -150 YEARS
SIAINTRP,demographics,Interpreter used in SP Interview?,Was an interpreter used to conduct the Sample Person (SP) interview?,Both males and females 0 YEARS -150 YEARS
FIALANG,demographics,Language of Family Interview,Language of the Family Interview Instrument,Both males and females 0 YEARS -150 YEARS
FIAPROXY,demographics,Proxy used in Family Interview?,Was a Proxy respondent used in conducting the Family Interview?,Both males and females 0 YEARS -150 YEARS
