Variable,Encoding
SDDSRVYR,"{10: 'NHANES 2017-2018 public release', '.': 'Missing'}"
RIDSTATR,"{1: 'Interviewed only', 2: 'Both interviewed and MEC examined', '.': 'Missing'}"
RIAGENDR,"{1: 'Male', 2: 'Female', '.': 'Missing'}"
RIDAGEYR,"{80: '80 years of age and over', '.': 'Missing'}"
RIDAGEMN,{'.': 'Missing'}
RIDRETH1,"{1: 'Mexican American', 2: 'Other Hispanic', 3: 'Non-Hispanic White', 4: 'Non-Hispanic Black', 5: 'Other Race - Including Multi-Racial', '.': 'Missing'}"
RIDRETH3,"{1: 'Mexican American', 2: 'Other Hispanic', 3: 'Non-Hispanic White', 4: 'Non-Hispanic Black', 6: 'Non-Hispanic Asian', 7: 'Other Race - Including Multi-Racial', '.': 'Missing'}"
RIDEXMON,"{1: 'November 1 through April 30', 2: 'May 1 through October 31', '.': 'Missing'}"
RIDEXAGM,{'.': 'Missing'}
DMQMILIZ,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't Know"", '.': 'Missing'}"
DMQADFC,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't Know"", '.': 'Missing'}"
DMDBORN4,"{1: 'Born in 50 US states or Washington, DC', 2: 'Others', 77: 'Refused', 99: ""Don't Know"", '.': 'Missing'}"
DMDCITZN,"{1: 'Citizen by birth or naturalization', 2: 'Not a citizen of the US', 7: 'Refused', 9: ""Don't Know"", '.': 'Missing'}"
DMDYRSUS,"{1: 'Less than 1 year', 2: '1 year or more, but less than 5 years', 3: '5 year or more, but less than 10 years', 4: '10 year or more, but less than 15 years', 5: '15 year or more, but less than 20 years', 6: '20 year or more, but less than 30 years', 7: '30 year or more, but less than 40 years', 8: '40 year or more, but less than 50 years', 9: '50 years or more', 77: 'Refused', 99: ""Don't Know"", '.': 'Missing'}"
DMDEDUC3,"{0: 'Never attended / kindergarten only', 1: '1st grade', 2: '2nd grade', 3: '3rd grade', 4: '4th grade', 5: '5th grade', 6: '6th grade', 7: '7th grade', 8: '8th grade', 9: '9th grade', 10: '10th grade', 11: '11th grade', 12: '12th grade, no diploma', 13: 'High school graduate', 14: 'GED or equivalent', 15: 'More than high school', 55: 'Less than 5th grade', 66: 'Less than 9th grade', 77: 'Refused', 99: ""Don't Know"", '.': 'Missing'}"
DMDEDUC2,"{1: 'Less than 9th grade', 2: '9-11th grade (Includes 12th grade with no diploma)', 3: 'High school graduate/GED or equivalent', 4: 'Some college or AA degree', 5: 'College graduate or above', 7: 'Refused', 9: ""Don't Know"", '.': 'Missing'}"
DMDMARTL,"{1: 'Married', 2: 'Widowed', 3: 'Divorced', 4: 'Separated', 5: 'Never married', 6: 'Living with partner', 77: 'Refused', 99: ""Don't Know"", '.': 'Missing'}"
RIDEXPRG,"{1: 'Yes, positive lab pregnancy test or self-reported pregnant at exam', 2: 'The participant was not pregnant at exam', 3: 'Cannot ascertain if the participant is pregnant at exam', '.': 'Missing'}"
SIALANG,"{1: 'English', 2: 'Spanish', '.': 'Missing'}"
SIAPROXY,"{1: 'Yes', 2: 'No', '.': 'Missing'}"
SIAINTRP,"{1: 'Yes', 2: 'No', '.': 'Missing'}"
FIALANG,"{1: 'English', 2: 'Spanish', '.': 'Missing'}"
FIAPROXY,"{1: 'Yes', 2: 'No', '.': 'Missing'}"
FIAINTRP,"{1: 'Yes', 2: 'No', '.': 'Missing'}"
MIALANG,"{1: 'English', 2: 'Spanish', '.': 'Missing'}"
MIAPROXY,"{1: 'Yes', 2: 'No', '.': 'Missing'}"
MIAINTRP,"{1: 'Yes', 2: 'No', '.': 'Missing'}"
AIALANGA,"{1: 'English', 2: 'Spanish', 3: 'Asian languages', '.': 'Missing'}"
DMDHHSIZ,"{1: '1', 2: '2', 3: '3', 4: '4', 5: '5', 6: '6', 7: '7 or more people in the Household', '.': 'Missing'}"
DMDFMSIZ,"{1: '1', 2: '2', 3: '3', 4: '4', 5: '5', 6: '6', 7: '7 or more people in the Family', '.': 'Missing'}"
DMDHHSZA,"{0: '0', 1: '1', 2: '2', 3: '3 or more', '.': 'Missing'}"
DMDHHSZB,"{0: '0', 1: '1', 2: '2', 3: '3 or more', '.': 'Missing'}"
DMDHHSZE,"{0: '0', 1: '1', 2: '2', 3: '3 or more', '.': 'Missing'}"
DMDHRGND,"{1: 'Male', 2: 'Female', '.': 'Missing'}"
DMDHRAGZ,"{1: '<20 years', 2: '20-39 years', 3: '40-59 years', 4: '60+ years', '.': 'Missing'}"
DMDHREDZ,"{1: 'Less than high school degree', 2: 'High school grad/GED or some college/AA degree', 3: 'College graduate or above', 7: 'Refused', 9: ""Don't Know"", '.': 'Missing'}"
DMDHRMAZ,"{1: 'Married/Living with partner', 2: 'Widowed/Divorced/Separated', 3: 'Never Married', 77: 'Refused', 99: ""Don't Know"", '.': 'Missing'}"
DMDHSEDZ,"{1: 'Less than high school degree', 2: 'High school grad/GED or some college/AA degree', 3: 'College graduate or above', 7: 'Refused', 9: ""Don't Know"", '.': 'Missing'}"
WTINT2YR,{'.': 'Missing'}
WTMEC2YR,"{0: 'Not MEC Examined', '.': 'Missing'}"
SDMVPSU,{'.': 'Missing'}
SDMVSTRA,{'.': 'Missing'}
INDHHIN2,"{1: '$ 0 to $ 4,999', 2: '$ 5,000 to $ 9,999', 3: '$10,000 to $14,999', 4: '$15,000 to $19,999', 5: '$20,000 to $24,999', 6: '$25,000 to $34,999', 7: '$35,000 to $44,999', 8: '$45,000 to $54,999', 9: '$55,000 to $64,999', 10: '$65,000 to $74,999', 12: '$20,000 and Over', 13: 'Under $20,000', 14: '$75,000 to $99,999', 15: '$100,000 and Over', 77: 'Refused', 99: ""Don't know"", '.': 'Missing'}"
INDFMIN2,"{1: '$ 0 to $ 4,999', 2: '$ 5,000 to $ 9,999', 3: '$10,000 to $14,999', 4: '$15,000 to $19,999', 5: '$20,000 to $24,999', 6: '$25,000 to $34,999', 7: '$35,000 to $44,999', 8: '$45,000 to $54,999', 9: '$55,000 to $64,999', 10: '$65,000 to $74,999', 12: '$20,000 and Over', 13: 'Under $20,000', 14: '$75,000 to $99,999', 15: '$100,000 and Over', 77: 'Refused', 99: ""Don't know"", '.': 'Missing'}"
INDFMPIR,"{5: 'Value greater than or equal to 5.00', '.': 'Missing'}"
WTDRD1,{'.': 'Missing'}
WTDR2D,"{0: 'Day 2 dietary recall not done/incomplete', '.': 'Missing'}"
DR1DRSTZ,"{1: 'Reliable and met the minimum criteria', 2: 'Not reliable or not met the minimum criteria', 4: 'Reported consuming breast-milk', 5: 'Not done', '.': 'Missing'}"
DR1EXMER,{'.': 'Missing'}
DRABF,"{1: 'Yes', 2: 'No', '.': 'Missing'}"
DRDINT,"{1: 'Day 1 only', 2: 'Day 1 and day 2', '.': 'Missing'}"
DR1DBIH,{'.': 'Missing'}
DR1DAY,"{1: 'Sunday', 2: 'Monday', 3: 'Tuesday', 4: 'Wednesday', 5: 'Thursday', 6: 'Friday', 7: 'Saturday', '.': 'Missing'}"
DR1LANG,"{1: 'English', 2: 'Spanish', 3: 'English and Spanish', 4: 'Other', 5: 'Asian Languages', 6: 'Asian Languages and English', '.': 'Missing'}"
DR1MRESP,"{1: 'SP', 2: 'Mother of SP', 3: 'Father of SP', 5: 'Spouse of SP', 6: 'Child of SP', 7: 'Grandparent of SP', 8: 'Friend, Partner, Non Relative', 9: 'Translator, not a HH member', 10: 'Child care provider, Caretaker', 11: 'Other Relative', 77: 'Refused', 99: ""Don't know"", '.': 'Missing'}"
DR1HELP,"{1: 'SP', 4: 'Parent of SP', 5: 'Spouse of SP', 6: 'Child of SP', 7: 'Grandparent of SP', 8: 'Friend, Partner, Non Relative', 9: 'Translator, not a HH member', 10: 'Child care provider, Caretaker', 11: 'Other Relative', 12: 'No One', 77: 'Refused', 99: ""Don't know"", '.': 'Missing'}"
DBQ095Z,"{1: 'Ordinary salt [includes regular iodized salt, sea salt and seasoning salts made with regular salt]', 2: 'Lite salt', 3: 'Salt substitute', 4: ""Doesn't use or add salt products at the table"", 91: 'Other', 99: ""Don't know"", '.': 'Missing'}"
DBD100,"{1: 'Rarely', 2: 'Occasionally', 3: 'Very often', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
DRQSPREP,"{1: 'Never', 2: 'Rarely', 3: 'Occasionally', 4: 'Very Often', 9: ""Don't know"", '.': 'Missing'}"
DR1STY,"{1: 'Yes', 2: 'No', 9: ""Don't know"", '.': 'Missing'}"
DR1SKY,"{1: 'Ordinary, sea, seasoned, or other flavored salt', 2: 'Lite salt', 3: 'Salt substitute', 91: 'Other', 99: ""Don't know"", '.': 'Missing'}"
DRQSDIET,"{1: 'Yes', 2: 'No', 9: ""Don't know"", '.': 'Missing'}"
DRQSDT1,"{1: 'Weight loss or low calorie diets', '.': 'Missing'}"
DRQSDT2,"{2: 'Low fat or low cholesterol diet', '.': 'Missing'}"
DRQSDT3,"{3: 'Low salt or low sodium diet (including diet to lower blood pressure or hypertension)', '.': 'Missing'}"
DRQSDT4,"{4: 'Sugar free or low sugar diet', '.': 'Missing'}"
DRQSDT5,"{5: 'Low fiber or low residue diet', '.': 'Missing'}"
DRQSDT6,"{6: 'High fiber or high residue diet', '.': 'Missing'}"
DRQSDT7,"{7: 'Diabetic diet (including gestational diabetic diets)', '.': 'Missing'}"
DRQSDT8,"{8: 'Weight gain/Muscle building diet', '.': 'Missing'}"
DRQSDT9,"{9: 'Low carbohydrate diet', '.': 'Missing'}"
DRQSDT10,"{10: 'High protein diet', '.': 'Missing'}"
