Variable Name,Variable Description,Component
AIALANGA,Language of the MEC ACASI Interview Instrument,Demographics
DMDBORN4,In what country {were you/was SP} born?,Demographics
DMDCITZN,{Are you/Is SP} a citizen of the United States? [Information about citizenship is being collected by the U.S. Public Health Service to perform health related research. Providing this information is voluntary and is collected under the authority of the Public Health Service Act. There will be no effect on pending immigration or citizenship petitions.],Demographics
DMDEDUC2,What is the highest grade or level of school {you have/SP has} completed or the highest degree {you have/s/he has} received?,Demographics
DMDEDUC3,What is the highest grade or level of school {you have/SP has} completed or the highest degree {you have/s/he has} received?,Demographics
DMDFMSIZ,Total number of people in the Family,Demographics
DMDHHSIZ,Total number of people in the Household,Demographics
DMDHHSZA,Number of children aged 5 years or younger in the household,Demographics
DMDHHSZB,Number of children aged 6-17 years old in the household,Demographics
DMDHHSZE,Number of adults aged 60 years or older in the household,Demographics
DMDHRAGZ,HH reference person's age in years,Demographics
DMDHREDZ,HH reference person's education level,Demographics
DMDHRGND,HH reference person's gender,Demographics
DMDHRMAZ,HH reference person's marital status,Demographics
DMDHSEDZ,HH reference person's spouse's education level,Demographics
DMDMARTL,Marital status,Demographics
DMDYRSUS,Length of time the participant has been in the US.,Demographics
DMQADFC,"Did {you/SP} ever serve in a foreign country during a time of armed conflict or on a humanitarian or peace-keeping mission? (This would include National Guard or reserve or active duty monitoring or conducting peace keeping operations in Bosnia and Kosovo, in the Sinai between Egypt and Israel, or in response to the 2004 tsunami or Haiti in 2010.)",Demographics
DMQMILIZ,"{Have you/Has SP} ever served on active duty in the U.S. Armed Forces, military Reserves, or National Guard? (Active duty does not include training for the Reserves or National Guard, but does include activation, for service in the U.S. or in a foreign country, in support of military or humanitarian operations.)",Demographics
FIAINTRP,Was an interpreter used to conduct the Family interview?,Demographics
FIALANG,Language of the Family Interview Instrument,Demographics
FIAPROXY,Was a Proxy respondent used in conducting the Family Interview?,Demographics
INDFMIN2,Total family income (reported as a range value in dollars),Demographics
INDFMPIR,A ratio of family income to poverty guidelines.,Demographics
INDHHIN2,Total household income (reported as a range value in dollars),Demographics
MIAINTRP,Was an interpreter used to conduct the MEC CAPI interview?,Demographics
MIALANG,Language of the MEC CAPI Interview Instrument,Demographics
MIAPROXY,Was a Proxy respondent used in conducting the MEC CAPI Interview?,Demographics
RIAGENDR,Gender of the participant.,Demographics
RIDAGEMN,Age in months of the participant at the time of screening. Reported for persons aged 24 months or younger at the time of exam (or screening if not examined).,Demographics
RIDAGEYR,Age in years of the participant at the time of screening. Individuals 80 and over are topcoded at 80 years of age.,Demographics
RIDEXAGM,Age in months of the participant at the time of examination. Reported for persons aged 19 years or younger at the time of examination.,Demographics
RIDEXMON,"Six month time period when the examination was performed - two categories: November 1 through April 30, May 1 through October 31.",Demographics
RIDEXPRG,Pregnancy status for females between 20 and 44 years of age at the time of MEC exam.,Demographics
RIDRETH1,Recode of reported race and Hispanic origin information,Demographics
RIDRETH3,"Recode of reported race and Hispanic origin information, with Non-Hispanic Asian Category",Demographics
RIDSTATR,Interview and examination status of the participant.,Demographics
SDDSRVYR,Data release cycle,Demographics
SDMVPSU,Masked variance unit pseudo-PSU variable for variance estimation,Demographics
SDMVSTRA,Masked variance unit pseudo-stratum variable for variance estimation,Demographics
SEQN,Respondent sequence number.,Demographics
SIAINTRP,Was an interpreter used to conduct the Sample Person (SP) interview?,Demographics
SIALANG,Language of the Sample Person Interview Instrument,Demographics
SIAPROXY,Was a Proxy respondent used in conducting the Sample Person (SP) interview?,Demographics
WTINT2YR,Full sample 2 year interview weight.,Demographics
WTMEC2YR,Full sample 2 year MEC exam weight.,Demographics
DBD100,How often {do you/does SP} add this salt to {your/his/her/SP's} food at the table?  Would you say . . .,Dietary
DBQ095Z,What type of salt {do you/does SP} usually add to {your/his/her/SP's} food at the table?  Would you say . . .,Dietary
DR1_300,"Was the amount of food that {you/NAME} ate yesterday much more than usual, usual, or much less than usual?",Dietary
DR1_320Z,"Total plain water drank yesterday - including plain tap water, water from a drinking fountain, water from a water cooler, bottled water, and spring water.",Dietary
DR1_330Z,Total tap water drank yesterday - including filtered tap water and water from a drinking fountain.,Dietary
DR1BWATZ,Total bottled water drank yesterday (gm),Dietary
DR1DAY,Intake day of the week,Dietary
DR1DBIH,Number of days between intake day and the day of family questionnaire administered in the household.,Dietary
DR1DRSTZ,Dietary recall status,Dietary
DR1EXMER,Interviewer ID code,Dietary
DR1HELP,Who helped in responding for this interview,Dietary
DR1LANG,The respondent spoke mostly:,Dietary
DR1MRESP,Who was the main respondent for this interview?,Dietary
DR1SKY,"What type of salt was it? (Was it ordinary or sea salt, lite salt, or a salt substitute?)",Dietary
DR1STY,"Did {you/SP} add any salt to {your/her/his} food at the table yesterday? Salt includes ordinary or sea salt, lite salt, or a salt substitute.",Dietary
DR1TACAR,Alpha-carotene (mcg),Dietary
DR1TALCO,Alcohol (gm),Dietary
DR1TATOA,Added alpha-tocopherol (Vitamin E) (mg),Dietary
