Variable,DataType,Label,Plain Description,Target,Encoding
SEQN,demographics,Respondent sequence number,Respondent sequence number.,Both males and females 0 YEARS -150 YEARS,
SDDSRVYR,demographics,Data release cycle,Data release cycle,Both males and females 0 YEARS -150 YEARS,"{10: 'NHANES 2017-2018 public release', '.': 'Missing'}"
RIDSTATR,demographics,Interview/Examination status,Interview and examination status of the participant.,Both males and females 0 YEARS -150 YEARS,"{1: 'Interviewed only', 2: 'Both interviewed and MEC examined', '.': 'Missing'}"
RIAGENDR,demographics,Gender,Gender of the participant.,Both males and females 0 YEARS -150 YEARS,"{1: 'Male', 2: 'Female', '.': 'Missing'}"
RIDRETH1,demographics,Race/Hispanic origin,Recode of reported race and Hispanic origin information,Both males and females 0 YEARS -150 YEARS,"{1: 'Mexican American', 2: 'Other Hispanic', 3: 'Non-Hispanic White', 4: 'Non-Hispanic Black', 5: 'Other Race - Including Multi-Racial', '.': 'Missing'}"
RIDRETH3,demographics,Race/Hispanic origin w/ NH Asian,"Recode of reported race and Hispanic origin information, with Non-Hispanic Asian Category",Both males and females 0 YEARS -150 YEARS,"{1: 'Mexican American', 2: 'Other Hispanic', 3: 'Non-Hispanic White', 4: 'Non-Hispanic Black', 6: 'Non-Hispanic Asian', 7: 'Other Race - Including Multi-Racial', '.': 'Missing'}"
RIDEXMON,demographics,Six month time period,"Six month time period when the examination was performed - two categories: November 1 through April 30, May 1 through October 31.",Both males and females 0 YEARS -150 YEARS,"{1: 'November 1 through April 30', 2: 'May 1 through October 31', '.': 'Missing'}"
DMQMILIZ,demographics,Served active duty in US Armed Forces,"{Have you/Has SP} ever served on active duty in the U.S. Armed Forces, military Reserves, or National Guard? (Active duty does not include training for the Reserves or National Guard, but does include activation, for service in the U.S. or in a foreign country, in support of military or humanitarian operations.)",Both males and females 17 YEARS -150 YEARS,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't Know"", '.': 'Missing'}"
DMQADFC,demographics,Served in a foreign country,"Did {you/SP} ever serve in a foreign country during a time of armed conflict or on a humanitarian or peace-keeping mission? (This would include National Guard or reserve or active duty monitoring or conducting peace keeping operations in Bosnia and Kosovo, in the Sinai between Egypt and Israel, or in response to the 2004 tsunami or Haiti in 2010.)",Both males and females 17 YEARS -150 YEARS,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't Know"", '.': 'Missing'}"
DMDBORN4,demographics,Country of birth,In what country {were you/was SP} born?,Both males and females 0 YEARS -150 YEARS,"{1: 'Born in 50 US states or Washington, DC', 2: 'Others', 77: 'Refused', 99: ""Don't Know"", '.': 'Missing'}"
DMDCITZN,demographics,Citizenship status,{Are you/Is SP} a citizen of the United States? [Information about citizenship is being collected by the U.S. Public Health Service to perform health related research. Providing this information is voluntary and is collected under the authority of the Public Health Service Act. There will be no effect on pending immigration or citizenship petitions.],Both males and females 0 YEARS -150 YEARS,"{1: 'Citizen by birth or naturalization', 2: 'Not a citizen of the US', 7: 'Refused', 9: ""Don't Know"", '.': 'Missing'}"
DMDYRSUS,demographics,Length of time in US,Length of time the participant has been in the US.,Both males and females 0 YEARS -150 YEARS,"{1: 'Less than 1 year', 2: '1 year or more, but less than 5 years', 3: '5 year or more, but less than 10 years', 4: '10 year or more, but less than 15 years', 5: '15 year or more, but less than 20 years', 6: '20 year or more, but less than 30 years', 7: '30 year or more, but less than 40 years', 8: '40 year or more, but less than 50 years', 9: '50 years or more', 77: 'Refused', 99: ""Don't Know"", '.': 'Missing'}"
DMDEDUC3,demographics,Education level - Children/Youth 6-19,What is the highest grade or level of school {you have/SP has} completed or the highest degree {you have/s/he has} received?,Both males and females 6 YEARS -19 YEARS,"{0: 'Never attended / kindergarten only', 1: '1st grade', 2: '2nd grade', 3: '3rd grade', 4: '4th grade', 5: '5th grade', 6: '6th grade', 7: '7th grade', 8: '8th grade', 9: '9th grade', 10: '10th grade', 11: '11th grade', 12: '12th grade, no diploma', 13: 'High school graduate', 14: 'GED or equivalent', 15: 'More than high school', 55: 'Less than 5th grade', 66: 'Less than 9th grade', 77: 'Refused', 99: ""Don't Know"", '.': 'Missing'}"
DMDEDUC2,demographics,Education level - Adults 20+,What is the highest grade or level of school {you have/SP has} completed or the highest degree {you have/s/he has} received?,Both males and females 20 YEARS -150 YEARS,"{1: 'Less than 9th grade', 2: '9-11th grade (Includes 12th grade with no diploma)', 3: 'High school graduate/GED or equivalent', 4: 'Some college or AA degree', 5: 'College graduate or above', 7: 'Refused', 9: ""Don't Know"", '.': 'Missing'}"
DMDMARTL,demographics,Marital status,Marital status,Both males and females 20 YEARS -150 YEARS,"{1: 'Married', 2: 'Widowed', 3: 'Divorced', 4: 'Separated', 5: 'Never married', 6: 'Living with partner', 77: 'Refused', 99: ""Don't Know"", '.': 'Missing'}"
